05-Feb-26 14:00:23 - Created loss log file ./logs/loss_log_20260205140023_.npy.npz
05-Feb-26 14:00:33 - Estimated training samples: 26786650
05-Feb-26 14:00:33 - Total training steps per epoch (estimated): 83708
05-Feb-26 14:00:34 - Loading weights from: weights/model_weights20260204165247.pth
05-Feb-26 14:00:34 - Weights loaded successfully. Resuming training.
05-Feb-26 14:00:34 - Running without torch.compile (more stable for training).
05-Feb-26 14:00:34 - Training model...
05-Feb-26 14:00:40 - Features shape: torch.Size([320, 4])
05-Feb-26 14:00:40 - Elevation shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Targets shape: torch.Size([320])
05-Feb-26 14:00:40 - Mask shape: torch.Size([320, 750])
05-Feb-26 14:00:40 - Preds shape: torch.Size([320])
05-Feb-26 14:00:42 - [Epoch=1 | Step=10/83708 | Samples=3200] loss=4.5720
05-Feb-26 14:36:17 - ---------Epoch 01 | Training samples: 1148800 | Average Loss: 5.0414
05-Feb-26 14:36:20 - [Epoch=1 | Step=3600/83708 | Samples=1152000] loss=8.2580
05-Feb-26 14:36:20 - ---------Epoch 01 | Training samples: 1152000 | Average Loss: 5.0378
05-Feb-26 14:36:22 - [Epoch=1 | Step=3610/83708 | Samples=1155200] loss=1.3176
05-Feb-26 14:36:22 - ---------Epoch 01 | Training samples: 1155200 | Average Loss: 5.0328
05-Feb-26 14:36:24 - [Epoch=1 | Step=3620/83708 | Samples=1158400] loss=7.8464
05-Feb-26 14:36:24 - ---------Epoch 01 | Training samples: 1158400 | Average Loss: 5.0292
05-Feb-26 14:36:26 - [Epoch=1 | Step=3630/83708 | Samples=1161600] loss=0.7385
05-Feb-26 14:36:26 - ---------Epoch 01 | Training samples: 1161600 | Average Loss: 5.0246
05-Feb-26 14:36:28 - [Epoch=1 | Step=3640/83708 | Samples=1164800] loss=7.2530
05-Feb-26 14:36:28 - ---------Epoch 01 | Training samples: 1164800 | Average Loss: 5.0210
05-Feb-26 14:36:32 - [Epoch=1 | Step=3650/83708 | Samples=1168000] loss=0.7266
05-Feb-26 14:36:32 - ---------Epoch 01 | Training samples: 1168000 | Average Loss: 5.0156
05-Feb-26 14:36:34 - [Epoch=1 | Step=3660/83708 | Samples=1171200] loss=7.4144
05-Feb-26 14:36:34 - ---------Epoch 01 | Training samples: 1171200 | Average Loss: 5.0130
05-Feb-26 14:36:36 - [Epoch=1 | Step=3670/83708 | Samples=1174400] loss=0.9109
05-Feb-26 14:36:36 - ---------Epoch 01 | Training samples: 1174400 | Average Loss: 5.0091
05-Feb-26 14:36:38 - [Epoch=1 | Step=3680/83708 | Samples=1177600] loss=8.1116
05-Feb-26 14:36:38 - ---------Epoch 01 | Training samples: 1177600 | Average Loss: 5.0074
05-Feb-26 14:36:41 - [Epoch=1 | Step=3690/83708 | Samples=1180800] loss=1.0675
05-Feb-26 14:36:41 - ---------Epoch 01 | Training samples: 1180800 | Average Loss: 5.0027
05-Feb-26 14:36:43 - [Epoch=1 | Step=3700/83708 | Samples=1184000] loss=6.9902
05-Feb-26 14:36:43 - ---------Epoch 01 | Training samples: 1184000 | Average Loss: 5.0002
05-Feb-26 14:36:45 - [Epoch=1 | Step=3710/83708 | Samples=1187200] loss=0.4380
05-Feb-26 14:36:45 - ---------Epoch 01 | Training samples: 1187200 | Average Loss: 4.9953
05-Feb-26 14:36:48 - [Epoch=1 | Step=3720/83708 | Samples=1190400] loss=6.6553
05-Feb-26 14:36:48 - ---------Epoch 01 | Training samples: 1190400 | Average Loss: 4.9926
05-Feb-26 14:36:50 - [Epoch=1 | Step=3730/83708 | Samples=1193600] loss=0.8261
05-Feb-26 14:36:50 - ---------Epoch 01 | Training samples: 1193600 | Average Loss: 4.9875
05-Feb-26 14:36:52 - [Epoch=1 | Step=3740/83708 | Samples=1196800] loss=7.2009
05-Feb-26 14:36:52 - ---------Epoch 01 | Training samples: 1196800 | Average Loss: 4.9852
05-Feb-26 14:36:54 - [Epoch=1 | Step=3750/83708 | Samples=1200000] loss=2.2526
05-Feb-26 14:36:54 - ---------Epoch 01 | Training samples: 1200000 | Average Loss: 4.9817
05-Feb-26 14:36:56 - [Epoch=1 | Step=3760/83708 | Samples=1203200] loss=5.4449
05-Feb-26 14:36:56 - ---------Epoch 01 | Training samples: 1203200 | Average Loss: 4.9790
05-Feb-26 14:36:58 - [Epoch=1 | Step=3770/83708 | Samples=1206400] loss=1.8158
05-Feb-26 14:36:58 - ---------Epoch 01 | Training samples: 1206400 | Average Loss: 4.9753
05-Feb-26 14:37:00 - [Epoch=1 | Step=3780/83708 | Samples=1209600] loss=5.7023
05-Feb-26 14:37:01 - ---------Epoch 01 | Training samples: 1209600 | Average Loss: 4.9727
05-Feb-26 14:37:03 - [Epoch=1 | Step=3790/83708 | Samples=1212800] loss=1.3569
05-Feb-26 14:37:03 - ---------Epoch 01 | Training samples: 1212800 | Average Loss: 4.9691
05-Feb-26 14:37:05 - [Epoch=1 | Step=3800/83708 | Samples=1216000] loss=5.7509
05-Feb-26 14:37:05 - ---------Epoch 01 | Training samples: 1216000 | Average Loss: 4.9670
05-Feb-26 14:37:08 - [Epoch=1 | Step=3810/83708 | Samples=1219200] loss=2.4948
05-Feb-26 14:37:08 - ---------Epoch 01 | Training samples: 1219200 | Average Loss: 4.9635
05-Feb-26 14:37:11 - [Epoch=1 | Step=3820/83708 | Samples=1222400] loss=6.2262
05-Feb-26 14:37:11 - ---------Epoch 01 | Training samples: 1222400 | Average Loss: 4.9619
05-Feb-26 14:37:13 - [Epoch=1 | Step=3830/83708 | Samples=1225600] loss=1.8881
05-Feb-26 14:37:13 - ---------Epoch 01 | Training samples: 1225600 | Average Loss: 4.9581
05-Feb-26 14:37:16 - [Epoch=1 | Step=3840/83708 | Samples=1228800] loss=7.3542
05-Feb-26 14:37:16 - ---------Epoch 01 | Training samples: 1228800 | Average Loss: 4.9562
05-Feb-26 14:37:18 - [Epoch=1 | Step=3850/83708 | Samples=1232000] loss=2.1297
05-Feb-26 14:37:18 - ---------Epoch 01 | Training samples: 1232000 | Average Loss: 4.9529
05-Feb-26 14:37:20 - [Epoch=1 | Step=3860/83708 | Samples=1235200] loss=6.5916
05-Feb-26 14:37:20 - ---------Epoch 01 | Training samples: 1235200 | Average Loss: 4.9512
05-Feb-26 14:37:22 - [Epoch=1 | Step=3870/83708 | Samples=1238400] loss=1.7914
05-Feb-26 14:37:22 - ---------Epoch 01 | Training samples: 1238400 | Average Loss: 4.9474
05-Feb-26 14:37:24 - [Epoch=1 | Step=3880/83708 | Samples=1241600] loss=6.2871
05-Feb-26 14:37:24 - ---------Epoch 01 | Training samples: 1241600 | Average Loss: 4.9449
05-Feb-26 14:37:27 - [Epoch=1 | Step=3890/83708 | Samples=1244800] loss=1.9372
05-Feb-26 14:37:27 - ---------Epoch 01 | Training samples: 1244800 | Average Loss: 4.9403
05-Feb-26 14:37:29 - [Epoch=1 | Step=3900/83708 | Samples=1248000] loss=6.4323
05-Feb-26 14:37:29 - ---------Epoch 01 | Training samples: 1248000 | Average Loss: 4.9379
05-Feb-26 14:37:31 - [Epoch=1 | Step=3910/83708 | Samples=1251200] loss=1.8971
05-Feb-26 14:37:31 - ---------Epoch 01 | Training samples: 1251200 | Average Loss: 4.9348
05-Feb-26 14:37:33 - [Epoch=1 | Step=3920/83708 | Samples=1254400] loss=6.6177
05-Feb-26 14:37:33 - ---------Epoch 01 | Training samples: 1254400 | Average Loss: 4.9322
05-Feb-26 14:37:36 - [Epoch=1 | Step=3930/83708 | Samples=1257600] loss=1.4773
05-Feb-26 14:37:36 - ---------Epoch 01 | Training samples: 1257600 | Average Loss: 4.9287
05-Feb-26 14:37:39 - [Epoch=1 | Step=3940/83708 | Samples=1260800] loss=6.5433
05-Feb-26 14:37:39 - ---------Epoch 01 | Training samples: 1260800 | Average Loss: 4.9263
05-Feb-26 14:37:41 - [Epoch=1 | Step=3950/83708 | Samples=1264000] loss=2.4464
05-Feb-26 14:37:41 - ---------Epoch 01 | Training samples: 1264000 | Average Loss: 4.9234
05-Feb-26 14:37:43 - [Epoch=1 | Step=3960/83708 | Samples=1267200] loss=6.8765
05-Feb-26 14:37:44 - ---------Epoch 01 | Training samples: 1267200 | Average Loss: 4.9208
05-Feb-26 14:37:46 - [Epoch=1 | Step=3970/83708 | Samples=1270400] loss=2.5065
05-Feb-26 14:37:46 - ---------Epoch 01 | Training samples: 1270400 | Average Loss: 4.9187
05-Feb-26 14:37:48 - [Epoch=1 | Step=3980/83708 | Samples=1273600] loss=6.3024
05-Feb-26 14:37:48 - ---------Epoch 01 | Training samples: 1273600 | Average Loss: 4.9173
05-Feb-26 14:37:50 - [Epoch=1 | Step=3990/83708 | Samples=1276800] loss=2.7755
05-Feb-26 14:37:50 - ---------Epoch 01 | Training samples: 1276800 | Average Loss: 4.9139
05-Feb-26 14:37:52 - [Epoch=1 | Step=4000/83708 | Samples=1280000] loss=6.0793
05-Feb-26 14:37:52 - ---------Epoch 01 | Training samples: 1280000 | Average Loss: 4.9114
05-Feb-26 14:40:47 - ---------Validation | Average Validation: 6.6768
05-Feb-26 14:40:47 - ---------Validation | Overestimation (>3dB): 375
05-Feb-26 14:40:47 - ---------Validation | Underestimation (<-3dB): 441
05-Feb-26 14:40:49 - [Epoch=1 | Step=4010/83708 | Samples=1283200] loss=2.3345
05-Feb-26 14:40:49 - ---------Epoch 01 | Training samples: 1283200 | Average Loss: 4.9080
05-Feb-26 14:40:51 - [Epoch=1 | Step=4020/83708 | Samples=1286400] loss=7.1848
05-Feb-26 14:40:51 - ---------Epoch 01 | Training samples: 1286400 | Average Loss: 4.9053
05-Feb-26 14:40:53 - [Epoch=1 | Step=4030/83708 | Samples=1289600] loss=1.9017
05-Feb-26 14:40:53 - ---------Epoch 01 | Training samples: 1289600 | Average Loss: 4.9016
05-Feb-26 14:40:55 - [Epoch=1 | Step=4040/83708 | Samples=1292800] loss=7.0430
05-Feb-26 14:40:55 - ---------Epoch 01 | Training samples: 1292800 | Average Loss: 4.8994
05-Feb-26 14:40:58 - [Epoch=1 | Step=4050/83708 | Samples=1296000] loss=1.5058
05-Feb-26 14:40:58 - ---------Epoch 01 | Training samples: 1296000 | Average Loss: 4.8954
05-Feb-26 14:41:01 - [Epoch=1 | Step=4060/83708 | Samples=1299200] loss=6.8520
05-Feb-26 14:41:01 - ---------Epoch 01 | Training samples: 1299200 | Average Loss: 4.8922
05-Feb-26 14:41:03 - [Epoch=1 | Step=4070/83708 | Samples=1302400] loss=1.8685
05-Feb-26 14:41:03 - ---------Epoch 01 | Training samples: 1302400 | Average Loss: 4.8882
05-Feb-26 14:41:06 - [Epoch=1 | Step=4080/83708 | Samples=1305600] loss=6.4770
05-Feb-26 14:41:06 - ---------Epoch 01 | Training samples: 1305600 | Average Loss: 4.8849
05-Feb-26 14:41:08 - [Epoch=1 | Step=4090/83708 | Samples=1308800] loss=2.0320
05-Feb-26 14:41:08 - ---------Epoch 01 | Training samples: 1308800 | Average Loss: 4.8807
05-Feb-26 14:41:10 - [Epoch=1 | Step=4100/83708 | Samples=1312000] loss=5.8655
05-Feb-26 14:41:10 - ---------Epoch 01 | Training samples: 1312000 | Average Loss: 4.8770
05-Feb-26 14:41:12 - [Epoch=1 | Step=4110/83708 | Samples=1315200] loss=1.8507
05-Feb-26 14:41:12 - ---------Epoch 01 | Training samples: 1315200 | Average Loss: 4.8719
05-Feb-26 14:41:14 - [Epoch=1 | Step=4120/83708 | Samples=1318400] loss=6.1042
05-Feb-26 14:41:14 - ---------Epoch 01 | Training samples: 1318400 | Average Loss: 4.8683
05-Feb-26 14:41:16 - [Epoch=1 | Step=4130/83708 | Samples=1321600] loss=1.2955
05-Feb-26 14:41:16 - ---------Epoch 01 | Training samples: 1321600 | Average Loss: 4.8634
05-Feb-26 14:41:18 - [Epoch=1 | Step=4140/83708 | Samples=1324800] loss=6.2478
05-Feb-26 14:41:18 - ---------Epoch 01 | Training samples: 1324800 | Average Loss: 4.8596
05-Feb-26 14:41:20 - [Epoch=1 | Step=4150/83708 | Samples=1328000] loss=1.8770
05-Feb-26 14:41:20 - ---------Epoch 01 | Training samples: 1328000 | Average Loss: 4.8547
05-Feb-26 14:41:22 - [Epoch=1 | Step=4160/83708 | Samples=1331200] loss=7.2991
05-Feb-26 14:41:22 - ---------Epoch 01 | Training samples: 1331200 | Average Loss: 4.8511
05-Feb-26 14:41:24 - [Epoch=1 | Step=4170/83708 | Samples=1334400] loss=2.2456
05-Feb-26 14:41:24 - ---------Epoch 01 | Training samples: 1334400 | Average Loss: 4.8462
05-Feb-26 14:41:27 - [Epoch=1 | Step=4180/83708 | Samples=1337600] loss=6.5684
05-Feb-26 14:41:27 - ---------Epoch 01 | Training samples: 1337600 | Average Loss: 4.8422
05-Feb-26 14:41:29 - [Epoch=1 | Step=4190/83708 | Samples=1340800] loss=2.1087
05-Feb-26 14:41:29 - ---------Epoch 01 | Training samples: 1340800 | Average Loss: 4.8381
05-Feb-26 14:41:32 - [Epoch=1 | Step=4200/83708 | Samples=1344000] loss=6.0602
05-Feb-26 14:41:32 - ---------Epoch 01 | Training samples: 1344000 | Average Loss: 4.8352
05-Feb-26 14:41:34 - [Epoch=1 | Step=4210/83708 | Samples=1347200] loss=2.0106
05-Feb-26 14:41:34 - ---------Epoch 01 | Training samples: 1347200 | Average Loss: 4.8316
05-Feb-26 14:41:36 - [Epoch=1 | Step=4220/83708 | Samples=1350400] loss=7.3372
05-Feb-26 14:41:36 - ---------Epoch 01 | Training samples: 1350400 | Average Loss: 4.8301
05-Feb-26 14:41:38 - [Epoch=1 | Step=4230/83708 | Samples=1353600] loss=2.5717
05-Feb-26 14:41:38 - ---------Epoch 01 | Training samples: 1353600 | Average Loss: 4.8280
05-Feb-26 14:41:40 - [Epoch=1 | Step=4240/83708 | Samples=1356800] loss=7.4931
05-Feb-26 14:41:40 - ---------Epoch 01 | Training samples: 1356800 | Average Loss: 4.8275
05-Feb-26 14:41:43 - [Epoch=1 | Step=4250/83708 | Samples=1360000] loss=2.4473
05-Feb-26 14:41:43 - ---------Epoch 01 | Training samples: 1360000 | Average Loss: 4.8254
05-Feb-26 14:41:45 - [Epoch=1 | Step=4260/83708 | Samples=1363200] loss=8.0996
05-Feb-26 14:41:45 - ---------Epoch 01 | Training samples: 1363200 | Average Loss: 4.8256
05-Feb-26 14:41:47 - [Epoch=1 | Step=4270/83708 | Samples=1366400] loss=2.1083
05-Feb-26 14:41:47 - ---------Epoch 01 | Training samples: 1366400 | Average Loss: 4.8229
05-Feb-26 14:41:49 - [Epoch=1 | Step=4280/83708 | Samples=1369600] loss=8.5602
05-Feb-26 14:41:49 - ---------Epoch 01 | Training samples: 1369600 | Average Loss: 4.8226
05-Feb-26 14:41:51 - [Epoch=1 | Step=4290/83708 | Samples=1372800] loss=2.6915
05-Feb-26 14:41:51 - ---------Epoch 01 | Training samples: 1372800 | Average Loss: 4.8217
05-Feb-26 14:41:53 - [Epoch=1 | Step=4300/83708 | Samples=1376000] loss=7.6885
05-Feb-26 14:41:53 - ---------Epoch 01 | Training samples: 1376000 | Average Loss: 4.8222
05-Feb-26 14:41:56 - [Epoch=1 | Step=4310/83708 | Samples=1379200] loss=2.4300
05-Feb-26 14:41:56 - ---------Epoch 01 | Training samples: 1379200 | Average Loss: 4.8206
05-Feb-26 14:41:58 - [Epoch=1 | Step=4320/83708 | Samples=1382400] loss=6.6589
05-Feb-26 14:41:58 - ---------Epoch 01 | Training samples: 1382400 | Average Loss: 4.8213
05-Feb-26 14:42:00 - [Epoch=1 | Step=4330/83708 | Samples=1385600] loss=1.4866
05-Feb-26 14:42:00 - ---------Epoch 01 | Training samples: 1385600 | Average Loss: 4.8196
05-Feb-26 14:42:02 - [Epoch=1 | Step=4340/83708 | Samples=1388800] loss=7.3671
05-Feb-26 14:42:02 - ---------Epoch 01 | Training samples: 1388800 | Average Loss: 4.8187
05-Feb-26 14:42:04 - [Epoch=1 | Step=4350/83708 | Samples=1392000] loss=1.5812
05-Feb-26 14:42:04 - ---------Epoch 01 | Training samples: 1392000 | Average Loss: 4.8163
05-Feb-26 14:42:06 - [Epoch=1 | Step=4360/83708 | Samples=1395200] loss=7.0947
05-Feb-26 14:42:06 - ---------Epoch 01 | Training samples: 1395200 | Average Loss: 4.8165
05-Feb-26 14:42:09 - [Epoch=1 | Step=4370/83708 | Samples=1398400] loss=1.5766
05-Feb-26 14:42:09 - ---------Epoch 01 | Training samples: 1398400 | Average Loss: 4.8142
05-Feb-26 14:42:11 - [Epoch=1 | Step=4380/83708 | Samples=1401600] loss=6.0862
05-Feb-26 14:42:11 - ---------Epoch 01 | Training samples: 1401600 | Average Loss: 4.8125
05-Feb-26 14:42:13 - [Epoch=1 | Step=4390/83708 | Samples=1404800] loss=1.4454
05-Feb-26 14:42:13 - ---------Epoch 01 | Training samples: 1404800 | Average Loss: 4.8102
05-Feb-26 14:42:15 - [Epoch=1 | Step=4400/83708 | Samples=1408000] loss=6.0027
05-Feb-26 14:42:15 - ---------Epoch 01 | Training samples: 1408000 | Average Loss: 4.8095
05-Feb-26 14:42:17 - [Epoch=1 | Step=4410/83708 | Samples=1411200] loss=1.0977
05-Feb-26 14:42:17 - ---------Epoch 01 | Training samples: 1411200 | Average Loss: 4.8061
05-Feb-26 14:42:19 - [Epoch=1 | Step=4420/83708 | Samples=1414400] loss=6.1333
05-Feb-26 14:42:19 - ---------Epoch 01 | Training samples: 1414400 | Average Loss: 4.8044
05-Feb-26 14:42:22 - [Epoch=1 | Step=4430/83708 | Samples=1417600] loss=1.3918
05-Feb-26 14:42:22 - ---------Epoch 01 | Training samples: 1417600 | Average Loss: 4.8011
05-Feb-26 14:42:24 - [Epoch=1 | Step=4440/83708 | Samples=1420800] loss=5.4901
05-Feb-26 14:42:24 - ---------Epoch 01 | Training samples: 1420800 | Average Loss: 4.7990
05-Feb-26 14:42:27 - [Epoch=1 | Step=4450/83708 | Samples=1424000] loss=1.5737
05-Feb-26 14:42:27 - ---------Epoch 01 | Training samples: 1424000 | Average Loss: 4.7960
05-Feb-26 14:42:30 - [Epoch=1 | Step=4460/83708 | Samples=1427200] loss=5.2182
05-Feb-26 14:42:30 - ---------Epoch 01 | Training samples: 1427200 | Average Loss: 4.7948
05-Feb-26 14:42:32 - [Epoch=1 | Step=4470/83708 | Samples=1430400] loss=2.0745
05-Feb-26 14:42:32 - ---------Epoch 01 | Training samples: 1430400 | Average Loss: 4.7922
05-Feb-26 14:42:34 - [Epoch=1 | Step=4480/83708 | Samples=1433600] loss=6.4963
05-Feb-26 14:42:34 - ---------Epoch 01 | Training samples: 1433600 | Average Loss: 4.7904
05-Feb-26 14:42:36 - [Epoch=1 | Step=4490/83708 | Samples=1436800] loss=2.0943
05-Feb-26 14:42:36 - ---------Epoch 01 | Training samples: 1436800 | Average Loss: 4.7876
05-Feb-26 14:42:38 - [Epoch=1 | Step=4500/83708 | Samples=1440000] loss=6.4414
05-Feb-26 14:42:38 - ---------Epoch 01 | Training samples: 1440000 | Average Loss: 4.7859
05-Feb-26 14:45:33 - ---------Validation | Average Validation: 6.5818
05-Feb-26 14:45:33 - ---------Validation | Overestimation (>3dB): 365
05-Feb-26 14:45:33 - ---------Validation | Underestimation (<-3dB): 433
05-Feb-26 14:45:35 - [Epoch=1 | Step=4510/83708 | Samples=1443200] loss=2.0870
05-Feb-26 14:45:35 - ---------Epoch 01 | Training samples: 1443200 | Average Loss: 4.7827
05-Feb-26 14:45:37 - [Epoch=1 | Step=4520/83708 | Samples=1446400] loss=7.7096
05-Feb-26 14:45:37 - ---------Epoch 01 | Training samples: 1446400 | Average Loss: 4.7815
05-Feb-26 14:45:39 - [Epoch=1 | Step=4530/83708 | Samples=1449600] loss=2.3550
05-Feb-26 14:45:39 - ---------Epoch 01 | Training samples: 1449600 | Average Loss: 4.7785
05-Feb-26 14:45:41 - [Epoch=1 | Step=4540/83708 | Samples=1452800] loss=8.5815
05-Feb-26 14:45:41 - ---------Epoch 01 | Training samples: 1452800 | Average Loss: 4.7774
05-Feb-26 14:45:44 - [Epoch=1 | Step=4550/83708 | Samples=1456000] loss=3.0531
05-Feb-26 14:45:44 - ---------Epoch 01 | Training samples: 1456000 | Average Loss: 4.7745
05-Feb-26 14:45:47 - [Epoch=1 | Step=4560/83708 | Samples=1459200] loss=6.9210
05-Feb-26 14:45:47 - ---------Epoch 01 | Training samples: 1459200 | Average Loss: 4.7728
05-Feb-26 14:45:50 - [Epoch=1 | Step=4570/83708 | Samples=1462400] loss=3.9589
05-Feb-26 14:45:50 - ---------Epoch 01 | Training samples: 1462400 | Average Loss: 4.7710
05-Feb-26 14:45:52 - [Epoch=1 | Step=4580/83708 | Samples=1465600] loss=6.3110
05-Feb-26 14:45:52 - ---------Epoch 01 | Training samples: 1465600 | Average Loss: 4.7697
05-Feb-26 14:45:54 - [Epoch=1 | Step=4590/83708 | Samples=1468800] loss=4.5040
05-Feb-26 14:45:54 - ---------Epoch 01 | Training samples: 1468800 | Average Loss: 4.7676
05-Feb-26 14:45:56 - [Epoch=1 | Step=4600/83708 | Samples=1472000] loss=6.8189
05-Feb-26 14:45:56 - ---------Epoch 01 | Training samples: 1472000 | Average Loss: 4.7667
05-Feb-26 14:45:58 - [Epoch=1 | Step=4610/83708 | Samples=1475200] loss=3.9001
05-Feb-26 14:45:58 - ---------Epoch 01 | Training samples: 1475200 | Average Loss: 4.7647
05-Feb-26 14:46:00 - [Epoch=1 | Step=4620/83708 | Samples=1478400] loss=5.9433
05-Feb-26 14:46:00 - ---------Epoch 01 | Training samples: 1478400 | Average Loss: 4.7643
05-Feb-26 14:46:02 - [Epoch=1 | Step=4630/83708 | Samples=1481600] loss=6.9844
05-Feb-26 14:46:02 - ---------Epoch 01 | Training samples: 1481600 | Average Loss: 4.7642
05-Feb-26 14:46:04 - [Epoch=1 | Step=4640/83708 | Samples=1484800] loss=6.0892
05-Feb-26 14:46:04 - ---------Epoch 01 | Training samples: 1484800 | Average Loss: 4.7650
05-Feb-26 14:46:06 - [Epoch=1 | Step=4650/83708 | Samples=1488000] loss=5.8777
05-Feb-26 14:46:06 - ---------Epoch 01 | Training samples: 1488000 | Average Loss: 4.7649
05-Feb-26 14:46:10 - [Epoch=1 | Step=4660/83708 | Samples=1491200] loss=5.7640
05-Feb-26 14:46:10 - ---------Epoch 01 | Training samples: 1491200 | Average Loss: 4.7661
05-Feb-26 14:46:12 - [Epoch=1 | Step=4670/83708 | Samples=1494400] loss=6.7789
05-Feb-26 14:46:12 - ---------Epoch 01 | Training samples: 1494400 | Average Loss: 4.7668
05-Feb-26 14:46:14 - [Epoch=1 | Step=4680/83708 | Samples=1497600] loss=6.3334
05-Feb-26 14:46:14 - ---------Epoch 01 | Training samples: 1497600 | Average Loss: 4.7672
05-Feb-26 14:46:16 - [Epoch=1 | Step=4690/83708 | Samples=1500800] loss=4.5121
05-Feb-26 14:46:16 - ---------Epoch 01 | Training samples: 1500800 | Average Loss: 4.7668
05-Feb-26 14:46:19 - [Epoch=1 | Step=4700/83708 | Samples=1504000] loss=6.6299
05-Feb-26 14:46:19 - ---------Epoch 01 | Training samples: 1504000 | Average Loss: 4.7667
05-Feb-26 14:46:21 - [Epoch=1 | Step=4710/83708 | Samples=1507200] loss=4.5213
05-Feb-26 14:46:21 - ---------Epoch 01 | Training samples: 1507200 | Average Loss: 4.7656
05-Feb-26 14:46:23 - [Epoch=1 | Step=4720/83708 | Samples=1510400] loss=4.7852
05-Feb-26 14:46:23 - ---------Epoch 01 | Training samples: 1510400 | Average Loss: 4.7639
05-Feb-26 14:46:25 - [Epoch=1 | Step=4730/83708 | Samples=1513600] loss=4.0753
05-Feb-26 14:46:25 - ---------Epoch 01 | Training samples: 1513600 | Average Loss: 4.7618
05-Feb-26 14:46:27 - [Epoch=1 | Step=4740/83708 | Samples=1516800] loss=5.8304
05-Feb-26 14:46:27 - ---------Epoch 01 | Training samples: 1516800 | Average Loss: 4.7595
05-Feb-26 14:46:29 - [Epoch=1 | Step=4750/83708 | Samples=1520000] loss=3.4299
05-Feb-26 14:46:29 - ---------Epoch 01 | Training samples: 1520000 | Average Loss: 4.7564
05-Feb-26 14:46:31 - [Epoch=1 | Step=4760/83708 | Samples=1523200] loss=5.9206
05-Feb-26 14:46:31 - ---------Epoch 01 | Training samples: 1523200 | Average Loss: 4.7540
05-Feb-26 14:46:33 - [Epoch=1 | Step=4770/83708 | Samples=1526400] loss=3.6280
05-Feb-26 14:46:33 - ---------Epoch 01 | Training samples: 1526400 | Average Loss: 4.7510
05-Feb-26 14:46:36 - [Epoch=1 | Step=4780/83708 | Samples=1529600] loss=5.7478
05-Feb-26 14:46:36 - ---------Epoch 01 | Training samples: 1529600 | Average Loss: 4.7482
05-Feb-26 14:46:38 - [Epoch=1 | Step=4790/83708 | Samples=1532800] loss=3.2642
05-Feb-26 14:46:38 - ---------Epoch 01 | Training samples: 1532800 | Average Loss: 4.7449
05-Feb-26 14:46:40 - [Epoch=1 | Step=4800/83708 | Samples=1536000] loss=4.9460
05-Feb-26 14:46:41 - ---------Epoch 01 | Training samples: 1536000 | Average Loss: 4.7425
05-Feb-26 14:46:43 - [Epoch=1 | Step=4810/83708 | Samples=1539200] loss=2.6557
05-Feb-26 14:46:43 - ---------Epoch 01 | Training samples: 1539200 | Average Loss: 4.7396
05-Feb-26 14:46:45 - [Epoch=1 | Step=4820/83708 | Samples=1542400] loss=5.2380
05-Feb-26 14:46:45 - ---------Epoch 01 | Training samples: 1542400 | Average Loss: 4.7380
05-Feb-26 14:46:47 - [Epoch=1 | Step=4830/83708 | Samples=1545600] loss=2.2600
05-Feb-26 14:46:47 - ---------Epoch 01 | Training samples: 1545600 | Average Loss: 4.7354
05-Feb-26 14:46:49 - [Epoch=1 | Step=4840/83708 | Samples=1548800] loss=6.3464
05-Feb-26 14:46:49 - ---------Epoch 01 | Training samples: 1548800 | Average Loss: 4.7344
05-Feb-26 14:46:51 - [Epoch=1 | Step=4850/83708 | Samples=1552000] loss=2.0089
05-Feb-26 14:46:51 - ---------Epoch 01 | Training samples: 1552000 | Average Loss: 4.7326
05-Feb-26 14:46:53 - [Epoch=1 | Step=4860/83708 | Samples=1555200] loss=6.8931
05-Feb-26 14:46:53 - ---------Epoch 01 | Training samples: 1555200 | Average Loss: 4.7320
05-Feb-26 14:46:55 - [Epoch=1 | Step=4870/83708 | Samples=1558400] loss=1.9753
05-Feb-26 14:46:55 - ---------Epoch 01 | Training samples: 1558400 | Average Loss: 4.7298
05-Feb-26 14:46:57 - [Epoch=1 | Step=4880/83708 | Samples=1561600] loss=7.7970
05-Feb-26 14:46:57 - ---------Epoch 01 | Training samples: 1561600 | Average Loss: 4.7296
05-Feb-26 14:46:59 - [Epoch=1 | Step=4890/83708 | Samples=1564800] loss=2.9120
05-Feb-26 14:46:59 - ---------Epoch 01 | Training samples: 1564800 | Average Loss: 4.7280
05-Feb-26 14:47:02 - [Epoch=1 | Step=4900/83708 | Samples=1568000] loss=7.0942
05-Feb-26 14:47:02 - ---------Epoch 01 | Training samples: 1568000 | Average Loss: 4.7286
05-Feb-26 14:47:04 - [Epoch=1 | Step=4910/83708 | Samples=1571200] loss=3.5086
05-Feb-26 14:47:05 - ---------Epoch 01 | Training samples: 1571200 | Average Loss: 4.7267
05-Feb-26 14:47:07 - [Epoch=1 | Step=4920/83708 | Samples=1574400] loss=7.1036
05-Feb-26 14:47:07 - ---------Epoch 01 | Training samples: 1574400 | Average Loss: 4.7261
05-Feb-26 14:47:09 - [Epoch=1 | Step=4930/83708 | Samples=1577600] loss=2.3935
05-Feb-26 14:47:09 - ---------Epoch 01 | Training samples: 1577600 | Average Loss: 4.7236
